# Generated by tools/gen_signal_catalog.py from esmini traffic_light_type_map + OpenDRIVE Signal_Base_catalog. Do not edit by hand.
type	subtype	category	subcategory	color	arrow	osi_type_name	nr_lamps	icon	label_en	label_ja
1000001	none	traffic_light	vehicle	multi	none	TYPE_UNKNOWN	3	odr_1000001_none	Vehicle traffic light (3-aspect)	車両用信号機(3灯)
1000002	none	traffic_light	pedestrian	multi	none	TYPE_UNKNOWN	2	odr_1000002_none	Pedestrian light (2-aspect)	歩行者用信号(2灯)
1000002	10	traffic_light	pedestrian	red	none	TYPE_UNKNOWN	1	odr_1000002_10	Pedestrian light (red)	歩行者用信号(赤)
1000002	20	traffic_light	pedestrian	green	none	TYPE_UNKNOWN	1	odr_1000002_20	Pedestrian light (green)	歩行者用信号(青)
1000002	30	traffic_light	pedestrian	multi	none	TYPE_UNKNOWN	3		Pedestrian light (3-aspect)	歩行者用信号(3灯)
1000003	none	road_marking	pedestrian_crossing	none	none	TYPE_ZEBRA_CROSSING	0	odr_1000003_none	Pedestrian crossing (road marking)	横断歩道(路面標示)
1000004	none	road_marking	bicycle_crossing	none	none	TYPE_UNKNOWN	0	odr_1000004_none	Bicycle crossing (road marking)	自転車横断帯(路面標示)
1000007	none	traffic_light	pedestrian_bicycle	multi	none	TYPE_UNKNOWN	2	odr_1000007_none	Pedestrian/bicycle light (2-aspect)	歩行者・自転車用信号(2灯)
1000007	10	traffic_light	pedestrian_bicycle	yellow	none	TYPE_UNKNOWN	1	odr_1000007_10	Pedestrian/bicycle light (yellow)	歩行者・自転車用信号(黄)
1000007	20	traffic_light	pedestrian_bicycle	yellow	none	TYPE_UNKNOWN	1	odr_1000007_20	Pedestrian/bicycle light (yellow)	歩行者・自転車用信号(黄)
1000007	30	traffic_light	pedestrian_bicycle	green	none	TYPE_UNKNOWN	1	odr_1000007_30	Pedestrian/bicycle light (green)	歩行者・自転車用信号(青)
1000008	none	traffic_light	vehicle	yellow	none	TYPE_UNKNOWN	1	odr_1000008_none	Vehicle traffic light (yellow)	車両用信号機(黄)
